facility_id,animal_id,date_collected,date_processed,sample_source,pasture_id,date_treated,anthelmintic,trichostongyle,epg,detected
camphill,312,2/27/25,3/5/25,cow,maples,,,0,<50,0
camphill,7266,2/27/25,3/5/25,cow,maples,,,0,<50,0
camphill,8021,2/27/25,3/5/25,cow,shade tree,,,1,<50,1
camphill,8055,2/27/25,3/5/25,cow,shade tree,,,1,<50,1
camphill,9684,2/27/25,3/5/25,cow,maples,,,0,<50,0
camphill,005J,2/27/25,3/5/25,cow,maples,,,1,<50,1
camphill,n/a,2/27/25,3/5/25,cow,cornplot,,,1,<50,1
camphill,n/a (calf),2/27/25,3/5/25,cow,shade tree,,,1,50,1
NABU,41,2/14/25,2/19/25,cow,B1,,,1,100,1
NABU,?,2/14/25,2/19/25,cow,B2,,,1,<50,1
NABU,129M,2/14/25,2/19/25,cow,B1,,,1,150,1
NABU,339L,2/14/25,2/19/25,cow,B2,,,1,50,1
NABU,349L,2/14/25,2/19/25,cow,B2,,,1,50,1
NABU,382L,2/14/25,2/19/25,cow,B2,,,1,100,1
NABU,603J,2/14/25,2/19/25,cow,B1,,,1,50,1
Jody,26,12/19/24,1/4/25,Cow,,,,1,<50,1
Jody,1908,12/19/24,1/15/25,Cow,,,,0,<50,0
Jody,2303,12/19/24,1/4/25,Cow,,,,0,<50,0
Jody,2325,12/19/24,1/4/25,Cow,,,,1,<50,1
Jody,2337,12/19/24,1/15/25,Cow,,,,1,250,1
Jody,9BA1,12/19/24,1/4/25,Cow,,,,1,100,1
Jody,n/a,12/19/24,1/9/25,Cow,,,,1,<50,1
Jody,U005,12/19/24,1/14/25,Cow,,,,0,<50,0
Jody,U008,12/19/24,1/4/25,Cow,,,,1,<50,1
Jody,U057,12/19/24,1/15/25,Cow,,,,1,50,1
Jody,U069,12/19/24,1/4/25,Cow,,,,1,50,1
Jody,U216,12/19/24,1/14/25,Cow,,,,1,50,1
Jody,U226,12/19/24,1/15/25,Cow,,,,0,<50,0
JR,4105,12/19/24,1/15/25,Cow,,,,0,<50,0
JR,4109,12/19/24,1/7/25,Cow,,,,1,50,1
JR,4222,12/19/24,1/7/25,Cow,,,,1,100,1
JR,4298,12/19/24,1/7/25,Cow,,,,1,50,1
JR,4842,12/19/24,1/11/25,Cow,,,,1,100,1
JR,4847,12/19/24,1/7/25,Cow,,,,1,150,1
