facility_id,animal_id,date_collected,date_processed,sample_source,pasture_id,date_treated,drug_used,strongyloides,monezia,trichostrongyle,epg,detected
nabu,355L,5/20/24,5/24/24,pasture,GP3 ,4/15/24,noromectin+safeguard,0,0,0,49,0
nabu,394L,5/20/24,5/24/24,pasture,GP5,4/15/24,valcor,0,0,0,49,0
nabu,382L,5/20/24,5/24/24,pasture,GP3 ,4/15/24,valcor,0,0,1,150,1
nabu,402L,5/20/24,5/24/24,pasture,GP3 ,4/15/24,valcor,0,0,0,49,0
nabu,403L,5/20/24,5/24/24,pasture,GP3 ,4/15/24,dectomax,0,0,0,49,0
nabu,316L,5/20/24,5/24/24,pasture,GP3 ,4/15/24,noromectin+safeguard,0,0,0,49,0
nabu,333L,5/20/24,5/24/24,pasture,GP5,4/15/24,,0,0,1,100,1
nabu,328L,5/20/24,5/24/24,pasture,GP5,4/15/24,,0,0,0,49,0
nabu,332L,5/20/24,5/24/24,pasture,GP5,4/15/24,,0,0,1,50,1
nabu,343L,5/30/24,5/31/24,pasture,GP5,4/15/24,,0,0,0,49,0
nabu,319L,5/30/24,5/31/24,pasture,GP5,4/15/24,noromectin+safeguard,0,0,0,49,0
nabu,027L,5/30/24,5/31/24,pasture,GP5,4/15/24,noromectin+safeguard,0,0,0,49,0
nabu,390L,5/30/24,5/31/24,pasture,GP5,4/15/24,noromectin+safeguard,0,0,0,49,0
nabu,323L,5/30/24,5/31/24,pasture,GP5,4/15/24,,0,0,1,50,1
nabu,418L,5/30/24,5/31/24,pasture,GP5,4/15/24,dectomax,0,0,0,49,0
nabu,346L,5/30/24,5/31/24,pasture,GP5,4/15/24,,0,0,0,49,0
nabu,423L,6/4/24,6/4/24,pasture,GP3 ,4/15/24,valcor,0,0,0,49,0
nabu,407L,6/4/24,6/4/24,pasture,GP3 ,4/15/24,valcor,0,0,0,49,0
nabu,301L,6/4/24,6/4/24,pasture,GP3 ,4/15/24,,0,0,0,49,0
camphill,n/a,6/7/24,6/7/24,pasture,RT,,,0,0,1,100,1
camphill,006J,6/7/24,6/7/24,pasture,RT,,,0,0,0,49,0
camphill,0H11,6/7/24,6/7/24,pasture,RT,,,0,0,0,49,0
camphill,015J,6/7/24,6/7/24,pasture,RT,,,0,0,0,49,0
camphill,n/a,6/7/24,6/7/24,pasture,Maples,,,0,0,0,49,0
camphill,9684,6/7/24,6/7/24,pasture,Maples,,,0,0,0,49,0
camphill,8706,6/7/24,6/7/24,pasture,Maples,,,0,0,0,49,0
camphill,9045,6/7/24,6/7/24,pasture,Maples,,,0,0,0,49,0
camphill,1710,6/7/24,6/7/24,pasture,Maples,,,0,0,0,49,0
au_dairy,817,5/23/24,5/28/24,cow,,,,0,0,0,49,0
au_dairy,117,5/23/24,5/28/24,cow,,,,0,0,0,49,0
au_dairy,2001,5/23/24,5/28/24,cow,,,,0,0,0,49,0
au_dairy,2023,5/23/24,5/28/24,cow,,,,0,0,0,49,0
au_dairy,2014,5/23/24,5/28/24,cow,,,,0,0,0,49,0
au_dairy,2017,5/23/24,5/28/24,cow,,,,0,0,0,49,0
au_dairy,2012,5/23/24,5/28/24,cow,,,,0,0,0,49,0
au_dairy,2006,5/23/24,5/28/24,cow,,,,0,0,0,49,0
au_dairy,119,5/23/24,5/28/24,cow,,,,0,0,0,49,0
au_dairy,909,5/23/24,5/28/24,cow,,,,0,0,0,49,0
au_dairy,912,5/23/24,5/28/24,cow,,,,0,0,0,49,0
au_dairy,106,5/23/24,5/28/24,cow,,,,0,0,0,49,0
au_dairy,108,5/23/24,5/28/24,cow,,,,0,0,0,49,0
au_dairy,920,5/23/24,5/28/24,cow,,,,0,0,0,49,0
au_dairy,902,5/23/24,5/28/24,cow,,,,0,0,0,49,0
au_dairy,918,5/23/24,5/28/24,cow,,,,0,0,0,49,0
au_dairy,203,5/23/24,5/28/24,cow,,,,0,0,0,49,0
au_dairy,112,5/23/24,5/28/24,cow,,,,0,0,0,49,0
au_dairy,104,5/23/24,5/28/24,cow,,,,0,0,1,50,1
au_dairy,202,5/23/24,5/28/24,cow,,,,0,0,0,49,0
au_dairy,304,5/23/24,5/28/24,cow,,,,0,0,1,300,1
au_dairy,301,5/23/24,5/28/24,cow,,,,0,0,0,49,0
au_dairy,303,5/23/24,5/28/24,cow,,,,0,0,0,49,0
au_dairy,220,5/23/24,5/28/24,cow,,,,0,0,0,49,0
au_dairy,302,5/23/24,5/28/24,cow,,,,0,0,0,49,0
au_dairy,118,6/13/24,6/14/24,cow,,,,0,0,1,49,1
