facility,animal_id,age,gender,date_collected,date_processed,sample_source,last_treated,drug_used,trich,epg,detected
au_vet_school,2215,2,F,5/24/24,5/29/24,goat,8/15/23,fenbendazole/albendazole+levamisole+ivermectin,1,950,1
au_vet_school,2234,2,M,5/24/24,5/29/24,goat,8/15/23,fenbendazole/albendazole+levamisole+ivermectin,1,300,1
au_vet_school,2218,2,F,5/24/24,5/29/24,goat,8/15/23,fenbendazole/albendazole+levamisole+ivermectin,1,1300,1
au_vet_school,2233,2,F,5/24/24,5/29/24,goat,8/15/23,fenbendazole/albendazole+levamisole+ivermectin,1,550,1
au_vet_school,743,2,M,5/24/24,5/29/24,goat,8/15/23,fenbendazole/albendazole+levamisole+ivermectin,1,2550,1
au_vet_school,795,,,5/24/24,5/29/24,goat,8/17/23,fenbendazole/albendazole+levamisole+ivermectin,1,3100,1
au_vet_school,815,5,F,5/24/24,5/29/24,goat,8/17/23,fenbendazole/albendazole+levamisole+ivermectin,1,1000,1
au_vet_school,Homer,2,M,5/24/24,5/29/24,goat,6/16/24,fenbendazole/albendazole+levamisole+ivermectin,1,400,1
au_vet_school,2239,1,M,5/24/24,5/29/24,goat,8/15/23,fenbendazole/albendazole+levamisole+ivermectin,1,2900,1
au_vet_school,2241,,,5/24/24,5/29/24,goat,,,1,<50,1
au_vet_school,2418,,,5/24/24,5/29/24,goat,,,1,400,1
au_vet_school,2416,,,5/24/24,5/29/24,goat,,,1,650,1
au_vet_school,2415,,,5/24/24,5/29/24,goat,,,1,450,1
au_vet_school,815,5,F,6/20/24,6/20/24,goat,,,1,500,1
au_vet_school,4506,9,M,6/20/24,6/20/24,goat,8/17/23,fenbendazole/albendazole+levamisole+ivermectin,1,4950,1
au_vet_school,2224,,,6/20/24,6/20/24,goat,,,1,4300,1
au_vet_school,N002,1,M,6/20/24,6/20/24,goat,8/17/23,fenbendazole/albendazole+levamisole+ivermectin,1,5250,1
au_vet_school,746,2,M,6/20/24,6/20/24,goat,,,1,550,1
au_vet_school,2218,2,F,6/20/24,6/20/24,goat,,,1,1200,1
au_vet_school,2240,1,F,6/20/24,6/21/24,goat,,,1,550,1
au_vet_school,Homer,2,M,6/20/24,6/21/24,goat,5/16/24,fenbendazole/albendazole+levamisole+ivermectin,1,1450,1
au_vet_school,743,2,M,6/20/24,6/21/24,goat,8/15/23,fenbendazole/albendazole+levamisole+ivermectin,1,6150,1
au_vet_school,2235,2,F,6/20/24,6/24/24,goat,,,1,1100,1
au_vet_school,795,,,6/20/24,6/24/24,goat,8/17/23,fenbendazole/albendazole+levamisole+ivermectin,1,2000,1
au_vet_school,2238,1,F,6/20/24,6/24/24,goat,,,1,2100,1
au_vet_school,2223,2,M,6/20/24,6/24/24,goat,,,1,6250,1
au_vet_school,2220,2,F,6/20/24,6/24/24,goat,,,1,1900,1
au_vet_school,2233,1,F,6/20/24,6/24/24,goat,8/15/23,fenbendazole/albendazole+levamisole+ivermectin,1,1450,1
au_vet_school,2234,1,M,6/20/24,6/24/24,goat,8/15/23,fenbendazole/albendazole+levamisole+ivermectin,1,3350,1
au_vet_school,2239,1,M,6/20/24,6/24/24,goat,8/15/23,fenbendazole/albendazole+levamisole+ivermectin,1,1900,1
au_vet_school,2232,1,F,6/20/24,6/24/24,goat,,,1,800,1
au_vet_school,24036,,,6/20/24,6/24/24,goat,,,1,1950,1
au_vet_school,2410,,,6/20/24,6/24/24,goat,,,1,11400,1
au_vet_school,2415,,,6/20/24,6/24/24,goat,,,1,5350,1
au_vet_school,2234,1,M,8/21/24,8/24/24,goat,8/15/24,fenbendazole/albendazole+levamisole+ivermectin,1,1150,1
au_vet_school,2218,1,F,8/21/24,8/24/24,goat,8/15/24,fenbendazole/albendazole+levamisole+ivermectin,1,2650,1
au_vet_school,Homer,2,M,8/21/24,8/24/24,goat,5/16/24,fenbendazole/albendazole+levamisole+ivermectin,1,2250,1
au_vet_school,2239,1,M,8/21/24,8/24/24,goat,8/15/23,fenbendazole/albendazole+levamisole+ivermectin,1,4550,1
au_vet_school,746,3,M,8/21/24,8/24/24,goat,,,1,1550,1
au_vet_school,2220,2,F,8/21/24,8/24/24,goat,,,1,2850,1
au_vet_school,N002,1,M,8/21/24,8/24/24,goat,,,1,8300,1
au_vet_school,2223,2,M,8/21/24,8/24/24,goat,6/21/24,fenbendazole/albendazole+levamisole+ivermectin,1,4400,1
au_vet_school,2241,,,8/21/24,8/24/24,goat,,,1,2300,1
au_vet_school,2234,1,M,10/21/24,10/23/24,goat,8/15/23,fenbendazole/albendazole+levamisole+ivermectin,1,1300,1
au_vet_school,746,3,M,10/21/24,10/23/24,goat,,,1,1100,1
au_vet_school,2238,2,F,10/21/24,10/23/24,goat,,,1,100,1
au_vet_school,2221,2,F,10/21/24,10/23/24,goat,,,1,400,1
au_vet_school,2239,1,M,10/21/24,10/23/24,goat,8/15/23,fenbendazole/albendazole+levamisole+ivermectin,1,500,1
au_vet_school,2232,1,F,10/21/24,10/23/24,goat,8/5/24,fenbendazole/albendazole+levamisole+ivermectin,1,350,1
au_vet_school,815,5,F,10/21/24,10/23/24,goat,8/17/23,fenbendazole/albendazole+levamisole+ivermectin,1,800,1
au_vet_school,2234,1,M,2/28/25,3/5/25,goat,,,1,200,1
au_vet_school,2238,2,F,2/28/25,3/5/25,goat,,,1,700,1
au_vet_school,4506,10,M,2/28/25,3/5/25,goat,,,1,"5,700",1
au_vet_school,746,3,M,2/28/25,3/5/25,goat,,,1,850,1
au_vet_school,N002,2,M,2/28/25,3/5/25,goat,,,1,"6,900",1
au_vet_school,2220,2,F,2/28/25,3/5/25,goat,,,1,1800,1
au_vet_school,2221,2,F,2/28/25,3/5/25,goat,,,1,150,1
au_vet_school,2232,1,F,2/28/25,3/5/25,goat,,,1,750,1
au_vet_school,2218,2,F,2/28/25,3/5/25,goat,,,1,700,1
au_vet_school,2240,1,F,2/28/25,3/5/25,goat,,,1,650,1
au_vet_school,2233,1,F,2/28/25,3/5/25,goat,,,1,1750,1
au_vet_school,Homer,3,M,2/28/25,3/5/25,goat,,,1,500,1
au_vet_school,2215,2,F,2/28/25,3/5/25,goat,,,1,850,1
au_vet_school,815,5,F,2/28/25,3/5/25,goat,,,1,400,1
au_vet_school,2223,2,M,2/28/25,3/5/25,goat,,,1,750,1
au_vet_school,2235,2,F,2/28/25,3/5/25,goat,,,1,650,1
au_vet_school,2420,,,6/5/25,6/10/25,goat,,,1,400,1
au_vet_school,2238,,,6/5/25,6/10/25,goat,,,1,8500,1
au_vet_school,2218,,,6/5/25,6/10/25,goat,,,1,850,1
