species,facility,animal_id,date_collected,date_processed,sample_source,epg,detected,samples
White-tailed Deer,Peidmont_Substation,,4/24/24,4/24/24,ground,49,0,1
White-tailed Deer,Peidmont_Substation,,4/24/24,4/24/24,ground,195,1,1
White-tailed Deer,Peidmont_Substation,,4/24/24,4/24/24,ground,190,1,1
White-tailed Deer,Peidmont_Substation,,4/24/24,4/24/24,ground,49,0,1
White-tailed Deer,Peidmont_Substation,,4/24/24,4/24/24,ground,49,0,1
White-tailed Deer,Peidmont_Substation,,4/24/24,4/25/24,ground,2450,1,1
White-tailed Deer,Peidmont_Substation,,4/24/24,4/25/24,ground,49,0,1
White-tailed Deer,Peidmont_Substation,,4/24/24,4/24/24,ground,49,0,1
White-tailed Deer,Peidmont_Substation,,4/24/24,4/24/24,ground,49,0,1
White-tailed Deer,Peidmont_Substation,,4/24/24,4/24/24,ground,49,0,1
White-tailed Deer,Peidmont_Substation,,5/22/24,5/24/24,ground,49,0,1
White-tailed Deer,Peidmont_Substation,,5/22/24,5/24/24,ground,100,1,1
White-tailed Deer,Peidmont_Substation,,5/22/24,5/24/24,ground,50,1,1
White-tailed Deer,Peidmont_Substation,,5/22/24,5/24/24,ground,250,1,1
White-tailed Deer,Peidmont_Substation,,5/22/24,5/24/24,ground,150,1,1
White-tailed Deer,Peidmont_Substation,,5/22/24,5/24/24,ground,50,1,1
White-tailed Deer,Peidmont_Substation,,5/22/24,5/24/24,ground,700,1,1
White-tailed Deer,Peidmont_Substation,,5/22/24,5/24/24,ground,150,1,1
White-tailed Deer,Peidmont_Substation,,5/22/24,5/24/24,ground,100,1,1
White-tailed Deer,Peidmont_Substation,,5/22/24,5/24/24,ground,50,1,1
White-tailed Deer,Peidmont_Substation,,5/22/24,5/24/24,ground,700,1,1
White-tailed Deer,Peidmont_Substation,,5/22/24,5/24/24,ground,150,1,1
White-tailed Deer,Peidmont_Substation,,5/22/24,5/24/24,ground,49,0,1
White-tailed Deer,Peidmont_Substation,,5/22/24,5/24/24,ground,250,1,1
White-tailed Deer,Peidmont_Substation,,5/22/24,5/24/24,ground,50,1,1
White-tailed Deer,Peidmont_Substation,,5/22/24,5/24/24,ground,49,0,1
White-tailed Deer,Peidmont_Substation,,6/10/24,6/10/24,ground,100,1,1
White-tailed Deer,Peidmont_Substation,,6/10/24,6/10/24,ground,49,0,1
White-tailed Deer,Peidmont_Substation,,6/10/24,6/10/24,ground,49,0,1
White-tailed Deer,Peidmont_Substation,,6/10/24,6/11/24,ground,49,0,1
White-tailed Deer,Peidmont_Substation,,6/10/24,6/11/24,ground,49,0,1
White-tailed Deer,Peidmont_Substation,,6/10/24,6/11/24,ground,49,0,1
White-tailed Deer,Peidmont_Substation,,6/21/24,6/26/24,ground,50,1,1
White-tailed Deer,Peidmont_Substation,,6/21/24,6/10/24,ground,50,1,1
White-tailed Deer,Peidmont_Substation,,6/21/24,6/25/24,ground,49,0,1
White-tailed Deer,Peidmont_Substation,,6/21/24,6/25/24,ground,200,1,1
White-tailed Deer,Peidmont_Substation,,6/21/24,6/26/24,ground,49,0,1
White-tailed Deer,Peidmont_Substation,,6/21/24,6/26/24,ground,49,0,1
White-tailed Deer,Peidmont_Substation,,6/21/24,6/26/24,ground,250,1,1
White-tailed Deer,Peidmont_Substation,,6/21/24,6/26/24,ground,200,1,1
White-tailed Deer,Peidmont_Substation,,6/21/24,6/25/24,ground,50,1,1
White-tailed Deer,Peidmont_Substation,,6/21/24,6/26/24,ground,49,0,1
White-tailed Deer,Peidmont_Substation,,6/21/24,6/26/24,ground,1900,1,1
White-tailed Deer,Peidmont_Substation,,6/21/24,6/26/24,ground,49,0,1
White-tailed Deer,Peidmont_Substation,,6/25/24,6/25/24,ground,2100,1,1
White-tailed Deer,Peidmont_Substation,,6/25/24,6/25/24,ground,1850,1,1
