Ownership,Detected
University-Beef,0
University-Beef,0
University-Beef,0
University-Beef,1
University-Beef,0
University-Beef,0
University-Beef,0
University-Beef,0
University-Beef,0
University-Beef,0
University-Beef,0
University-Beef,0
University-Beef,1
University-Beef,0
University-Beef,1
University-Beef,1
University-Beef,1
University-Beef,1
University-Beef,0
University-Beef,1
University-Beef,1
University-Beef,1
University-Beef,0
University-Beef,1
University-Beef,0
University-Beef,1
University-Beef,0
University-Beef,0
University-Beef,1
University-Beef,1
University-Beef,1
University-Beef,1
University-Beef,1
University-Beef,0
University-Beef,0
University-Beef,1
University-Beef,0
University-Beef,0
University-Beef,0
University-Beef,1
University-Beef,1
University-Beef,0
University-Beef,1
University-Beef,1
University-Beef,1
University-Beef,0
University-Beef,0
University-Beef,1
University-Beef,0
University-Beef,0
University-Beef,1
University-Beef,1
University-Beef,1
University-Beef,1
University-Beef,1
University-Beef,1
University-Beef,0
University-Beef,1
University-Beef,1
University-Beef,1
University-Beef,0
University-Beef,1
University-Beef,1
University-Beef,1
University-Beef,1
University-Beef,0
University-Beef,0
University-Beef,1
University-Beef,1
University-Beef,0
University-Beef,0
University-Beef,1
University-Beef,0
University-Beef,0
University-Beef,1
University-Beef,1
University-Beef,1
University-Beef,0
University-Beef,0
University-Beef,0
University-Beef,1
University-Beef,0
University-Beef,1
University-Beef,1
University-Beef,1
University-Beef,0
University-Beef,1
University-Beef,0
University-Beef,0
University-Beef,1
University-Beef,1
University-Beef,1
University-Beef,1
University-Beef,1
University-Beef,1
University-Beef,1
University-Beef,1
University-Beef,1
University-Beef,0
University-Beef,0
University-Beef,0
University-Beef,1
University-Beef,1
University-Beef,1
Private-Beef,0
Private-Beef,1
Private-Beef,0
Private-Beef,1
Private-Beef,1
Private-Beef,0
Private-Beef,1
Private-Beef,0
Private-Beef,1
Private-Beef,0
Private-Beef,0
Private-Beef,0
Private-Beef,0
Private-Beef,0
Private-Beef,0
Private-Beef,1
Private-Beef,1
Private-Beef,1
Private-Beef,0
Private-Beef,1
Private-Beef,1
Private-Beef,0
Private-Beef,1
Private-Beef,1
Private-Beef,0
Private-Beef,0
Private-Beef,1
Private-Beef,0
Private-Beef,0
Private-Beef,0
Private-Beef,1
Private-Beef,1
Private-Beef,0
Private-Beef,0
Private-Beef,0
Private-Beef,0
Private-Beef,1
Private-Beef,1
Private-Beef,1
Private-Beef,0
Private-Beef,1
Private-Beef,1
Private-Beef,1
Private-Beef,0
Private-Beef,1
Private-Beef,1
Private-Beef,1
Private-Beef,0
Private-Beef,0
Private-Beef,0
Private-Beef,1
Private-Beef,1
Private-Beef,1
Private-Beef,1
Private-Beef,1
Private-Beef,1
Private-Beef,1
Private-Beef,1
Private-Beef,1
Private-Beef,1
Private-Beef,1
Private-Beef,1
Private-Beef,1
Private-Beef,1
Private-Beef,1
Private-Beef,0
Private-Beef,0
Private-Beef,1
Private-Beef,1
Private-Beef,1
Private-Beef,1
Private-Beef,0
Private-Beef,0
Private-Beef,1
Private-Beef,0
Private-Beef,1
Private-Beef,1
Private-Beef,0
Private-Beef,1
Private-Beef,0
Private-Beef,1
Private-Beef,1
Private-Beef,1
Private-Beef,0
Private-Beef,1
Private-Beef,0
Private-Beef,1
University-Dairy,1
University-Dairy,0
University-Dairy,0
University-Dairy,0
University-Dairy,0
University-Dairy,0
University-Dairy,0
University-Dairy,0
University-Dairy,0
University-Dairy,0
University-Dairy,0
University-Dairy,0
University-Dairy,0
University-Dairy,0
University-Dairy,0
University-Dairy,0
University-Dairy,0
University-Dairy,0
University-Dairy,0
University-Dairy,1
University-Dairy,0
University-Dairy,1
University-Dairy,0
University-Dairy,0
University-Dairy,0
University-Dairy,0
University-Dairy,1
University-Dairy,1
University-Dairy,0
University-Dairy,0
University-Dairy,0
University-Dairy,0
University-Dairy,0
University-Dairy,0
University-Dairy,1
University-Dairy,1
University-Dairy,0
University-Dairy,0
University-Dairy,0
University-Dairy,1
University-Dairy,0
University-Dairy,1
University-Dairy,1
University-Dairy,0
University-Dairy,1
University-Dairy,1
University-Dairy,0
University-Dairy,1
University-Dairy,1
University-Dairy,0
University-Dairy,0
University-Dairy,1
University-Dairy,0
University-Dairy,1
University-Dairy,1
University-Dairy,1
University-Dairy,0
University-Dairy,1
University-Dairy,0
University-Dairy,1
University-Dairy,1
University-Dairy,1
University-Dairy,1
University-Dairy,1
University-Dairy,1
University-Dairy,1
University-Dairy,1
University-Dairy,1
University-Dairy,1
University-Dairy,1
University-Dairy,1
University-Dairy,0
University-Dairy,1
University-Dairy,1
University-Dairy,1
University-Dairy,0
Private-Dairy,1
Private-Dairy,1
Private-Dairy,0
Private-Dairy,0
Private-Dairy,1
Private-Dairy,1
Private-Dairy,1
Private-Dairy,1
Private-Dairy,1
Private-Dairy,1
Private-Dairy,1
Private-Dairy,1
Private-Dairy,1
Private-Dairy,1
Private-Dairy,0
Private-Dairy,0
Private-Dairy,1
Private-Dairy,1
